league_code,league_ar,team_id,name_en,name_en_official,name_ar,short_name_ar,city,logo,logo_local,logo_note
JOR,الدوري الأردني,4529,Al Ahli,Al-Ahli,نادي الأهلي,الأهلي,Amman,https://media.api-sports.io/football/teams/4529.png,logos/4529.png,شعار API خاطئ - سعودي قديم
JOR,الدوري الأردني,4531,Al Faisaly,Al-Faisaly,نادي الفيصلي,الفيصلي,Amman,https://media.api-sports.io/football/teams/4531.png,,
JOR,الدوري الأردني,4532,Al Hussein,Al-Hussein,نادي الحسين إربد,الحسين,Irbid,https://media.api-sports.io/football/teams/4532.png,,
JOR,الدوري الأردني,4533,Al Jazeera,Al-Jazeera,نادي الجزيرة,الجزيرة,Amman,https://media.api-sports.io/football/teams/4533.png,,
JOR,الدوري الأردني,4534,Al Ramtha,Al-Ramtha,نادي الرمثا,الرمثا,Al Ramtha,https://media.api-sports.io/football/teams/4534.png,,
JOR,الدوري الأردني,4535,Al Salt,Al-Salt,نادي السلط,السلط,As-Salt,https://media.api-sports.io/football/teams/4535.png,,
JOR,الدوري الأردني,4536,Al Sareeh,Al-Sareeh,نادي الصريح,الصريح,Irbid,https://media.api-sports.io/football/teams/4536.png,,
JOR,الدوري الأردني,4537,Al Wihdat,Al-Wehdat,نادي الوحدات,الوحدات,Amman,https://media.api-sports.io/football/teams/4537.png,,
JOR,الدوري الأردني,4538,Aqaba,Shabab Al-Aqaba,نادي العقبة,العقبة,Aqaba,https://media.api-sports.io/football/teams/4538.png,,
JOR,الدوري الأردني,4539,Shabab Al Ordon,Shabab Al-Ordon,نادي شباب الأردن,شباب الأردن,Amman,https://media.api-sports.io/football/teams/4539.png,,
JOR,الدوري الأردني,10121,Ma'an,Ma'an,نادي معان,معان,Ma'an,https://media.api-sports.io/football/teams/10121.png,,
JOR,الدوري الأردني,17467,Moghayer Al Sarhan,Moghayer Al-Sarhan,نادي مغير السرحان,مغير السرحان,Al Mafraq,https://media.api-sports.io/football/teams/17467.png,,
IRQ,الدوري العراقي,5242,Al Shorta,Al-Shorta,نادي الشرطة,الشرطة,Baghdad,https://media.api-sports.io/football/teams/5242.png,,
IRQ,الدوري العراقي,8009,Al Quwa Al Jawiya,Al-Quwa Al-Jawiya,نادي القوة الجوية,القوة الجوية,Baghdad,https://media.api-sports.io/football/teams/8009.png,,
IRQ,الدوري العراقي,8010,Al Zawra'a,Al-Zawraa,نادي الزوراء,الزوراء,Baghdad,https://media.api-sports.io/football/teams/8010.png,,
